grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
1;suburbano;si;padre;ingenieria;4;6;4;NA;A;D;E;D;B;E;D;E;D;E;C;A;B;C;B;C;A;B;C;D;E;C;D;E;D;D;E;D;C;A;B;A;A;A;B;B;si;matematicas;NA;B;NA;2;porque a veces no hay oportunidad;si;porque todos tenemos el mismo derecho;D;D;B;D;E
2;rural;no;NA;NA;2;2;1;0;E;A;A;B;D;A;B;D;E;D;E;D;E;C;E;D;D;A;D;E;D;E;E;D;D;E;E;D;E;E;A;B;A;NA;A;A;si;muchas materias;NA;B;NA;3;NA;si;si nosotras tambien tenemos los derechos;C;D;D;D;E
2;suburbano;si;NA;ingeniero agronomo;2;2;2;0;D;B;B;C;E;E;E;E;E;B;E;E;E;E;E;E;E;D;E;E;E;D;D;D;E;E;D;D;D;D;A;B;A;A;A;A;si;ciencias y ciencias sociales;NA;B;NA;4;NA;NA;todos somos iguales considero que las mujeres somos muy inteligentes;E;E;E;E;E
2;suburbano;no;NA;NA;2;2;2;0;B;D;C;B;E;D;A;D;D;E;E;E;D;D;E;E;B;E;E;E;E;D;E;E;E;D;E;D;C;E;A;A;A;A;A;A;si;ciencias;NA;B;NA;4;NA;si;NA;E;D;D;E;D
2;urbano;no;NA;NA;4;2;2;0;A;B;D;D;B;C;D;D;E;D;C;B;E;C;D;D;B;C;D;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;A;NA;NA;A;NA;NA;si;audicion voz y lenguaje;NA;B;NA;5;NA;si;porque todos tenemos los mismos derechos;D;C;C;C;D
2;rural;no;NA;NA;4;2;2;0;B;A;B;B;D;C;D;E;D;C;C;C;C;D;E;D;A;E;E;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;A;B;A;B;A;A;si;maestra;NA;NA;NA;5;NA;NA;NA;E;E;D;E;E
2;suburbano;no;NA;NA;1;1;2;0;D;A;D;E;E;E;D;E;D;D;E;E;D;A;B;A;E;B;A;A;B;E;B;B;A;A;B;B;E;C;A;B;A;A;A;A;si;derechos o ciencias;NA;B;NA;NA;NA;si;tienen los mismos derecho y oportunidades;A;B;A;C;B
2;urbano;no;NA;NA;2;2;1;0;B;A;B;D;C;D;C;E;C;B;D;D;C;C;C;E;A;B;C;E;E;B;D;B;E;E;D;E;C;D;A;A;A;C;A;C;si;medicina o derecho;NA;B;NA;4;NA;NA;pienso que si porque tenemos las mismas abilidades;D;E;A;D;D
2;NA;no;NA;NA;2;2;2;0;D;E;C;E;D;B;D;E;D;D;E;D;B;C;D;D;C;D;D;D;D;D;E;E;E;D;D;D;E;E;NA;A;NA;A;NA;NA;si;ingenieria;NA;B;NA;2;NA;NA;NA;C;D;NA;NA;NA
2;rural;no;NA;NA;2;2;2;0;A;E;A;E;E;E;A;E;E;E;E;E;E;E;E;E;A;A;A;E;E;E;D;E;E;E;E;D;D;E;A;A;A;A;A;A;no es seguro;NA;por falta de dinero;D;perito contador o politica;2;quiza por el dinero o oportunidades que nos brinda el medio educacion;si;ser positivas llegaras al exito;E;D;D;D;E
2;rural;si;padre;albanileria;2;2;2;0;B;E;NA;D;D;B;D;D;E;D;B;D;D;D;D;D;C;C;D;D;C;D;D;D;D;D;C;C;D;C;A;A;A;C;A;C;si;la ciencia;NA;A;NA;5;NA;si;todas podemos lo que un hombre puede hacer;D;D;D;C;D
2;urbano;no;NA;NA;2;2;2;0;E;A;E;B;E;E;D;E;C;E;E;E;E;B;B;E;A;E;E;E;C;E;E;A;E;E;E;E;E;E;A;B;A;C;A;A;si;NA;NA;B;NA;3;porque en Guatemala la ciencia no es tan avanzada;si;porque todos tenemos las mismas capacidades;E;A;E;A;E
3;NA;no;NA;NA;2;2;2;NA;C;A;C;D;NA;D;D;C;C;D;D;D;D;C;D;D;B;C;D;D;D;D;D;C;D;D;D;D;C;D;B;B;B;C;A;A;si;NA;NA;B;NA;NA;NA;NA;NA;C;D;D;D;D
3;urbano;no;NA;NA;2;3;3;NA;A;B;A;C;D;D;B;D;D;D;C;D;D;D;D;D;B;B;D;D;E;D;D;D;D;D;E;D;B;D;A;B;A;C;C;C;no es seguro;ciencia o medicina;talvez mi mamá no tenga posivilidades económicas;NA;NA;4;NA;NA;NA;D;D;NA;D;D
3;rural;si;madre;maestra;4;2;2;NA;C;A;C;B;C;D;D;D;D;C;C;C;D;D;C;D;A;D;D;D;C;D;D;C;D;D;C;C;C;D;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;rural;no;NA;NA;4;2;2;NA;A;D;A;D;B;E;D;E;E;E;D;D;E;E;D;D;A;D;E;E;D;E;E;E;E;E;E;D;D;E;A;B;B;C;C;C;si;matematica y expresion pitistica;NA;D;seguir estudianto en bachillerato;4;NA;si;porque las mujeres tabmien tienen habilidades para hacer muchas cosas;D;D;B;D;E
3;rural;no;NA;NA;2;3;3;NA;B;D;C;C;D;D;D;D;E;D;D;D;D;D;D;D;B;D;D;D;D;D;E;B;E;D;E;D;B;E;A;A;A;A;A;A;si;medicina;NA;B;NA;2;porque el colegio no ofrecen aprender sobre todas la ciencias en el nivel basico;si;porque ahora hay como que la igualidad de generos;D;D;C;D;D
3;urbano;no;NA;NA;10;10;10;NA;B;C;A;B;D;D;C;E;D;E;B;C;E;D;D;C;B;C;E;E;E;E;E;C;E;E;E;D;D;E;A;A;A;A;A;A;si;medicina biologia ingenieria;NA;B;NA;3;NA;si;porque ahora ya depende de lo que cada una piensa seguir;D;D;D;C;E
3;urbano;no;NA;NA;10;10;10;NA;A;D;E;E;A;E;E;E;D;E;D;D;D;D;D;NA;A;B;D;E;E;D;E;D;E;E;E;E;D;E;A;A;A;A;C;A;si;matematica tecnologia;NA;B;NA;3;NA;si;porque como seres humas tenemos los mismos derechos y nadie es superior que nadie;D;E;A;E;E
3;rural;no;NA;NA;2;2;2;NA;B;B;A;B;E;E;B;E;E;E;D;E;E;E;E;D;A;E;E;E;E;D;E;B;E;E;E;B;B;E;A;A;A;A;A;C;no;NA;por el escaso económico de mis padres;D;trabajar e ir a la universidad si consigo trabajo;2;por el nivel de estudios del pais;no;porque antes se dio una discriminacion hacia las mujeres y es por esa razon las mujeres no consiguen trabajo;E;E;A;E;E
3;urbano;si;madre y padre;madre licensiada padre perito contador;2;3;3;NA;A;B;A;D;D;E;D;E;E;E;E;E;E;D;E;E;B;E;E;E;E;E;E;D;D;D;D;D;D;D;B;B;A;C;A;C;si;agronomia;NA;D;hacer examenes de admicion para obtener una veca de magisterio o de agronoma;2;porque puede que no tenga los medios para poder asistir;si;porque toda mujer puede hacer lo que un hombre aga pero el problema es que apoyan mas a los hombres que mujeres;E;E;E;E;E
3;rural;si;madre;maestra;4;3;2;NA;C;A;C;D;C;E;D;D;C;E;C;C;D;D;C;E;A;E;E;D;E;B;E;D;E;E;E;E;C;E;A;B;B;C;C;A;si;ingenieria en sistemas;NA;B;NA;5;NA;si;porque tenemos mismos derechos por igual;C;E;C;E;D
3;urbano;no;NA;NA;2;3;3;NA;B;A;C;D;C;B;D;E;D;E;B;B;D;C;D;B;A;B;C;E;E;D;B;E;B;E;C;C;D;D;A;A;A;C;C;B;si;desarrolla comunitaria;NA;B;NA;4;NA;no;porque en Guatemala es muy escaso la educacion y no se les presta la atencion adecuada para los mas necesitados;E;E;C;E;E
3;urbano;no;NA;NA;2;2;2;NA;B;B;C;D;C;C;D;D;E;D;D;D;D;D;D;D;B;D;E;D;E;D;E;E;E;E;E;D;D;D;A;B;A;C;A;C;si;medicina;NA;B;NA;3;NA;no;porque a veces las mujeres no tienen la misma capacidad que los hombres;E;E;C;D;D
3;NA;no;NA;NA;2;2;3;NA;A;B;B;A;A;B;D;E;B;B;C;C;A;C;E;C;A;A;A;A;C;B;A;C;A;D;C;A;B;C;B;A;NA;C;C;C;si;turismo en agronomia;NA;B;NA;NA;NA;NA;NA;D;A;B;C;A
3;urbano;NA;NA;NA;2;2;2;NA;A;B;C;B;E;D;C;D;D;E;E;C;E;E;D;E;A;C;E;E;E;C;D;B;C;E;E;C;E;E;A;A;A;A;A;A;si;medicina;NA;B;NA;3;NA;no;porque a veces por falta de economia no estudian;E;E;D;E;E
3;urbano;no;NA;NA;2;2;2;NA;A;B;C;D;C;C;E;D;D;D;D;E;C;D;E;D;B;C;D;E;D;E;E;D;E;C;D;D;E;E;B;B;A;A;A;A;si;ciencia medicina;NA;B;NA;3;NA;no;a veces por falta de economia;C;C;E;C;D
3;urbano;no;NA;NA;2;3;3;NA;B;A;B;B;A;E;D;E;E;D;E;E;E;E;D;C;B;E;E;E;B;E;E;D;E;E;E;E;D;E;A;A;A;A;A;A;si;ciencias biologicas;NA;B;NA;5;NA;si;porque valemos por igual;E;C;C;D;E
3;urbano;NA;NA;NA;1;2;3;NA;A;B;C;C;D;B;C;E;E;D;D;E;E;E;C;C;E;E;NA;E;E;NA;E;E;D;D;C;D;NA;NA;B;A;NA;A;A;NA;si;derechos humanos;NA;B;NA;1;porque tengo miedo de no tener una idea buena para acertar en hora de clases;si;porque como mujeres tenemos habilidad para sobresalir y salir adelante y tener un buen futuro;E;C;E;E;E
3;NA;NA;padre;ingenieria;2;3;3;NA;A;D;A;B;D;E;D;D;E;E;D;D;E;C;E;E;C;D;E;E;D;D;E;E;E;D;E;E;D;E;A;A;NA;A;A;C;si;matematicas;NA;B;NA;4;NA;NA;porque todos tenemos derechos y somos libres por nuestras opiniones;E;E;B;D;D
3;rural;no;NA;mama ama de casa papa comerciante;2;3;4;NA;A;E;A;A;A;E;E;E;E;E;D;A;B;B;A;A;E;B;B;E;E;E;E;D;E;E;E;D;D;E;A;A;NA;A;A;A;si;ingenieria en matematicas;NA;B;NA;3;NA;no;por la falta de igualdad;B;D;D;D;D
5 mag;urbano;no;NA;docente nivel primario;NA;NA;NA;NA;C;B;B;C;C;B;C;B;C;B;B;A;C;C;C;D;C;C;C;E;D;C;C;C;C;D;C;B;C;B;A;B;B;NA;NA;NA;si;NA;NA;D;trabajar en un negocio;2;NA;NA;NA;D;C;D;D;C
5 mag;rural;no;NA;trabaja como sastre;NA;NA;NA;NA;A;D;A;E;A;D;E;D;E;E;A;E;E;E;E;E;A;E;D;E;D;E;E;E;E;D;E;E;D;E;A;A;A;A;C;A;si;ingeniera en sistemas;NA;B;NA;5;NA;si;porque todos tenemos capacidad para lograr lo que muchos llaman imposible;E;C;A;D;E
5 mag;urbano;no;NA;secretaria oficinista;NA;NA;NA;NA;C;A;C;B;C;B;C;A;C;C;D;D;D;C;D;D;C;C;C;D;C;C;D;A;D;C;C;C;C;C;A;A;NA;NA;A;NA;si;ciencias de la psicopedagogia infantil;NA;B;NA;2;NA;NA;NA;B;A;C;A;C
5 mag;NA;NA;NA;NA;NA;NA;NA;NA;C;A;B;B;D;B;B;D;B;C;C;C;C;C;C;C;C;C;C;C;C;B;D;C;D;C;C;C;C;D;B;C;C;NA;C;NA;si;leyes arqueologia;NA;B;NA;NA;NA;NA;NA;C;C;D;C;C
5 mag;urbano;NA;NA;NA;2;2;1;NA;E;A;NA;A;E;A;A;D;A;E;A;D;D;E;E;A;E;NA;E;E;E;E;E;E;E;E;E;E;A;E;A;A;A;A;A;A;si;psicologia;me siento insegura al no poder lograr mis objetivos por falta de conocimiento;B;NA;2;porque no he buscado ayuda;si;todos los seres humanos tenemos las mismas oportunidades;D;E;E;A;E
5 mag;urbano;no;NA;docente del nivel medio nivel primario;NA;NA;NA;NA;C;B;D;C;B;D;D;D;D;D;C;D;D;D;C;D;B;C;D;E;E;D;D;E;D;E;E;E;D;D;A;B;A;B;A;B;si;psicopedagogia o licenciatura;NA;B;NA;3;porque no tengo la oportunidad de recibir estos talleres;si;todos tenemos capacidades en realizar cosas;E;D;C;D;D
5 mag;urbano;no;NA;maestro;NA;NA;NA;NA;NA;B;B;B;D;D;B;B;D;D;B;D;D;D;D;E;D;D;D;D;C;C;C;D;D;D;C;C;B;D;A;B;C;A;A;A;si;chef;NA;D;trabajar fuera;3;porque casi no los pongo en practica;no;porque les dan mas a los hombres que a las mujeres;E;E;D;E;D
5 mag;rural;no;NA;NA;NA;NA;NA;NA;C;B;C;B;D;C;B;C;C;C;C;B;C;C;NA;C;B;B;C;D;C;B;D;C;D;C;C;B;C;C;A;B;A;C;A;C;no es seguro;NA;NA;A;NA;4;NA;NA;NA;C;D;D;B;C
5 mag;rural;no;NA;sastre y ama de casa;5;7;4;NA;B;D;C;B;D;B;A;D;E;C;D;D;D;C;D;C;C;B;D;D;C;D;E;E;E;E;E;D;C;E;B;A;B;A;C;A;no es seguro;ingenieria de sistemas;NA;A;NA;3;NA;NA;NA;D;D;B;C;D
5 mag;urbano;no;NA;ama de casa piloto;NA;NA;NA;NA;D;A;B;B;D;E;B;D;D;E;A;A;D;E;E;D;D;D;D;D;D;D;D;D;D;D;D;D;B;D;B;B;B;A;A;A;si;psicologia;NA;B;NA;3;NA;NA;NA;D;D;D;D;D
5 mag;urbano;NA;NA;NA;6;6;3;1;D;A;D;B;D;NA;E;E;D;D;E;E;E;E;E;E;B;D;E;E;E;E;E;E;E;E;E;E;D;D;NA;NA;C;NA;C;NA;si;NA;NA;B;NA;5;NA;si;poniendo empeños y entusiasmo todo se puede;D;D;E;D;E
5 mag;urbano;si;padre;tesorero;5;4;6;NA;A;B;A;B;B;C;B;C;C;C;C;C;C;C;C;C;C;C;C;C;D;D;D;C;D;D;D;C;C;D;B;B;B;A;A;A;si;odontologia arquitectura;NA;B;NA;3;muchas de las cosas no las entiendo rapido;si;todas las mujeres tenemos los mismos derechos que los hombres;C;C;C;C;C
5 mag;suburbano;no;NA;padre es mecanico y electricista;4;NA;NA;NA;A;B;B;D;B;B;E;E;D;D;C;D;D;E;E;E;D;E;E;E;C;NA;B;B;E;E;B;C;C;C;NA;NA;A;NA;A;NA;si;bachillerato de medicina;NA;B;NA;1;porque es muy importante tomar clases y aprender cosas nuevas;si;porque cada quien puede escoger lo que le gusta;E;E;D;D;E
5 mag;rural;NA;NA;agricultor;NA;NA;NA;NA;A;B;A;D;D;D;A;D;A;B;D;D;D;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;B;B;B;C;A;A;NA;NA;NA;B;NA;3;quiza porque no he tenido oportunidades a participar;si;porque las mujeres tambien pueden y son inteligentes;D;D;A;D;D
5 mag;urbano;si;padre;perito contador;8;9;10;NA;D;C;C;B;E;D;C;C;D;D;C;D;D;E;D;C;C;D;D;D;D;C;E;C;E;E;D;C;C;E;B;B;B;A;A;C;si;especialidad en educacion inicial;NA;B;NA;4;NA;NA;porque todos tenemos los mismos derechos y oportunidades;D;D;C;C;D
5 mag;rural;si;padre;agronomo;7;8;9;NA;D;C;D;B;D;C;B;D;A;A;C;B;C;D;D;C;C;B;B;B;C;D;D;C;D;C;D;B;D;A;B;B;B;A;A;B;si;un doctorado;NA;B;NA;5;NA;si;porque todos somos iguales y tenemos las mismas capacidades de aprender;D;C;D;C;D
5 mag;rural;si;padre;bachillerato en ciencias y letras;8;10;10;NA;A;C;B;A;B;E;D;E;E;E;D;D;E;E;E;E;D;E;E;E;D;E;E;D;E;E;E;E;D;E;B;A;B;A;A;A;si;especialidad en educacion inicial;NA;B;NA;4;NA;si;porque todos tenemos los mismos derechos;D;D;C;C;D
5 bach;urbano;no;NA;NA;9;7;2;NA;C;NA;B;C;C;C;D;D;E;D;D;D;E;E;D;D;B;D;D;E;D;D;D;E;E;E;E;D;D;D;A;A;A;C;A;B;si;gastronomia;NA;B;NA;4;NA;si;porque todos tenemos los mismos derechos asi como formarnos de igual manera;E;D;C;E;E
5 bach;rural;no;NA;NA;5;4;2;NA;B;B;D;D;B;D;D;D;D;E;D;D;D;E;E;D;D;E;E;D;D;C;D;E;D;E;E;E;C;D;A;A;A;C;A;C;si;musica matematicas literatura;NA;B;NA;4;NA;si;porque hoy en dia se les da mas oportunidad y se sabe que las mujeres tabmbien pueden;E;D;B;D;E
5 bach;rural;no;NA;NA;7;8;9;NA;B;C;C;D;D;D;C;E;D;D;C;D;E;D;E;E;D;C;D;E;D;C;D;D;E;E;D;C;C;D;A;A;A;C;A;C;si;materias del curso de chef existen las ciencias;NA;D;estudia la carrera de chef por un año;4;NA;si;porque todos somos iguales y tenemos la capacidad de aprender;E;D;E;D;E
5 bach;urbano;no;NA;NA;9;6;2;NA;B;A;C;D;B;C;D;D;C;B;D;D;D;E;E;D;B;C;C;C;D;B;D;B;D;C;C;B;B;A;A;A;A;B;A;B;si;biologia quimica fisica;NA;B;NA;4;NA;si;porque las mujeres tambien somos muy capaces e inteligentes;D;C;B;C;C
5 bach;rural;no;NA;NA;9;7;2;NA;C;B;C;B;D;C;C;D;E;D;C;C;E;C;E;E;D;D;D;E;D;E;E;C;D;E;C;D;D;C;A;A;A;A;A;A;si;gastronomia;NA;B;NA;4;NA;si;porque hoy en dia las mujeres ya tienen la oportunidad de seguir estudiantes;D;E;C;D;E
5 bach;rural;no;NA;NA;3;3;3;NA;B;D;D;D;A;E;D;D;E;E;D;D;E;D;D;D;B;B;D;D;D;D;E;D;D;D;D;D;B;B;B;B;B;A;A;A;si;pediatra;NA;B;NA;3;NA;si;NA;D;D;D;D;D
5 bach;rural;no;NA;NA;9;6;2;NA;B;C;B;D;A;D;E;D;D;E;E;D;D;E;D;D;A;D;E;D;D;E;D;C;D;D;E;D;E;E;A;A;A;A;A;C;si;matematica y ciencia;NA;D;estudiar ingles y despues ir a la universidad;4;NA;si;porque las mujeres tienen potencial pero su controycarte en Guatemala muchas veces no se lo permite;D;E;C;D;D
5 bach;rural;no;NA;NA;9;5;7;NA;C;D;D;D;D;E;D;E;E;E;E;E;E;E;E;E;D;E;E;E;E;E;E;E;E;E;E;E;D;E;B;B;B;A;A;A;si;gastronomia;NA;D;NA;4;NA;si;porque todos tenemos la misma capacidad de realizar ese trabaja;E;E;B;E;E
5 bach;rural;no;NA;NA;9;7;2;NA;A;D;A;B;B;D;D;C;C;A;A;D;D;D;D;D;B;C;C;D;D;D;D;D;D;C;D;D;C;A;A;A;NA;A;A;A;si;ingeniera agronoma;NA;B;NA;4;NA;si;porque todos poseen habilidades solo debemos descubrirlas y desarrollarlas;E;E;E;D;E
5 bach;rural;no;NA;NA;9;7;2;NA;C;B;C;C;C;C;C;D;D;D;E;D;D;D;D;D;C;D;D;D;C;B;D;D;C;NA;D;B;B;D;B;B;NA;C;A;C;si;biologia quimica botanica;NA;B;NA;5;NA;si;porque todos somos inteligentes y tenemos derechos;D;D;C;C;D
5 bach;rural;no;NA;agricultores y artesanos;9;7;2;NA;C;B;C;B;D;C;C;C;D;E;C;C;E;D;E;C;D;C;D;D;D;D;D;D;D;E;D;C;C;D;A;A;NA;C;C;C;no es seguro;cocina;por la situación económica de mis padres;B;NA;5;NA;si;porque todos tenemos las mismas oportunidades;D;D;D;C;D
5 bach;urbano;no;NA;comerciantes;9;7;2;2;B;C;B;C;B;A;B;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;NA;C;A;C;si;ciencia;NA;B;NA;3;NA;si;porque todos tenemos las mismas capacidades;E;D;E;E;E
5 bach;rural;si;padre;hermanos son matematicos;5;7;4;NA;B;D;A;D;D;E;D;E;E;D;D;D;D;D;D;E;A;A;D;E;E;D;D;E;D;E;E;D;D;E;A;A;NA;A;A;A;si;ingenieria;porque tengo que buscar trabajo primero;D;un negocio;4;NA;si;porque nosotras podemos trabajar no importa si los hombres son mas fuertes que nosotras;E;E;D;E;D
5 bach;rural;no;madre y padre;comerciantes;9;7;2;NA;A;D;D;E;B;E;E;D;E;E;C;C;D;E;E;C;D;D;D;D;D;C;C;D;D;D;D;C;C;C;A;B;NA;A;B;B;si;licenciatura en matematica;NA;B;NA;3;nos falta equipo tecnologico y personal;si;porque asi ha sido;D;D;C;D;D
5 bach;urbano;no;madre;;9;5;2;NA;A;D;A;E;A;E;E;D;E;D;E;E;E;E;E;E;A;D;D;D;E;C;E;E;E;E;E;E;D;E;A;A;NA;A;A;A;si;ingenieria de sistemas;NA;B;NA;5;;si;todos elegimos estudiar lo que mas nos gusta;E;D;A;E;E
5 bach;urbano;no;NA;NA;2;7;2;NA;C;C;D;B;D;E;B;D;E;E;C;D;D;E;E;C;C;C;E;D;D;C;D;B;C;B;D;B;B;B;A;B;NA;A;A;C;si;nutricion;NA;B;NA;3;considero eso porque podria tomar clases en linea y participar en las olimpiadas nacionales de la ciencia;si;porque simplemente todos poseemos el valor de la igualdad y equidad por lo tanto tenemos las mismas oportunidades;D;D;D;D;D
5 bach;urbano;si;padre;contador;2;7;2;NA;B;D;B;A;D;A;D;E;D;E;A;B;D;E;E;E;E;A;E;E;E;D;D;E;A;E;E;A;D;E;B;B;NA;A;A;A;si;biologia quimica;NA;B;NA;3;;si;porque tenemos que darnos cuenta de que no todo lo puede hacer el hombre y todos somos iguales;E;E;D;E;E
5 bach;urbano;si;padre;NA;NA;7;2;NA;B;A;B;B;B;C;B;D;D;D;D;C;D;E;D;C;C;D;E;E;D;C;E;C;E;E;C;D;B;C;B;A;NA;A;A;C;no es seguro;NA;NA;NA;NA;4;;si;porque tienen derecho y son capaces para hacerlo;B;D;C;C;D
